#REFERENCE LIST;ALGORITHM;P;PREFIX SIZE;RBO_SCORE
TOTALS;pagerank_ott_dbpedia;0.984130859375;80;0.3271552496343167
TOTALS;pagerank_ott_dbpedia;0.9872894287109375;100;0.3433317213648821
TOTALS;pagerank_ott_dbpedia;0.989410400390625;120;0.3596550786504399
TOTALS;pagerank_ott_dbpedia;0.9909210205078125;140;0.375449844624494
TOTALS;pagerank_ott_dbpedia;0.9920501708984375;160;0.3903865631193481
TOTALS;pagerank_ott_dbpedia;0.9929351806640625;180;0.4044613354117661
TOTALS;pagerank_ott_dbpedia;0.9936370849609375;200;0.41737628379756275
TOTALS;pagerank_ott_dbpedia;0.9942169189453125;220;0.4293642647070847
TOTALS;pagerank_ott_dbpedia;0.9946975708007812;240;0.44028487429698715
TOTALS;pagerank_ott_dbpedia;0.9951019287109375;260;0.450200709896074
TOTALS;pagerank_ott_dbpedia;0.995452880859375;280;0.45936350018079264
TOTALS;pagerank_ott_dbpedia;0.995758056640625;300;0.467756487445822
TOTALS;pagerank_ott_dbpedia;0.9960212707519531;320;0.4753117622646392
TOTALS;pagerank_ott_dbpedia;0.9962539672851562;340;0.48223050673874956
TOTALS;pagerank_ott_dbpedia;0.9964637756347656;360;0.4886553839119936
TOTALS;pagerank_ott_dbpedia;0.9966506958007812;380;0.4945221133000527
TOTALS;pagerank_ott_dbpedia;0.9968166351318359;400;0.49983701582813145
TOTALS;pagerank_ott_dbpedia;0.9969673156738281;420;0.5047445551731276
TOTALS;pagerank_ott_dbpedia;0.9971046447753906;440;0.5092796602230266
TOTALS;pagerank_ott_dbpedia;0.9972305297851562;460;0.5134845886845472
TOTALS;pagerank_ott_dbpedia;0.9973468780517578;480;0.5174074985492201
TOTALS;pagerank_ott_dbpedia;0.9974517822265625;500;0.5209711611832105
TOTALS;pagerank_ott_adapted_dbpedia;0.93719482421875;20;0.4267073447970977
TOTALS;pagerank_ott_adapted_dbpedia;0.9683837890625;40;0.4410026315267236
TOTALS;pagerank_ott_adapted_dbpedia;0.9788665771484375;60;0.4550017019843288
TOTALS;pagerank_ott_adapted_dbpedia;0.984130859375;80;0.4680366592839106
TOTALS;pagerank_ott_adapted_dbpedia;0.9872894287109375;100;0.47991888343711525
TOTALS;pagerank_ott_adapted_dbpedia;0.989410400390625;120;0.49111819306022597
TOTALS;pagerank_ott_adapted_dbpedia;0.9909210205078125;140;0.5018466541673083
TOTALS;pagerank_ott_adapted_dbpedia;0.9920501708984375;160;0.5122676715924657
TOTALS;pagerank_ott_adapted_dbpedia;0.9929351806640625;180;0.522569481564485
TOTALS;pagerank_ott_adapted_dbpedia;0.9936370849609375;200;0.5325933230931302
TOTALS;pagerank_ott_adapted_dbpedia;0.9942169189453125;220;0.5425043049797644
TOTALS;pagerank_ott_adapted_dbpedia;0.9946975708007812;240;0.5521316734578059
TOTALS;pagerank_ott_adapted_dbpedia;0.9951019287109375;260;0.561439876410287
TOTALS;pagerank_ott_adapted_dbpedia;0.995452880859375;280;0.5705812720420045
TOTALS;pagerank_ott_adapted_dbpedia;0.995758056640625;300;0.5794619371053616
TOTALS;pagerank_ott_adapted_dbpedia;0.9960212707519531;320;0.5879147824791612
TOTALS;pagerank_ott_adapted_dbpedia;0.9962539672851562;340;0.596074036009483
TOTALS;pagerank_ott_adapted_dbpedia;0.9964637756347656;360;0.6040424210762276
TOTALS;pagerank_ott_adapted_dbpedia;0.9966506958007812;380;0.6116770436617597
TOTALS;pagerank_ott_adapted_dbpedia;0.9968166351318359;400;0.6189139005849095
TOTALS;pagerank_ott_adapted_dbpedia;0.9969673156738281;420;0.625888235712899
TOTALS;pagerank_ott_adapted_dbpedia;0.9971046447753906;440;0.6326018423588599
TOTALS;pagerank_ott_adapted_dbpedia;0.9972305297851562;460;0.6390742361618056
TOTALS;pagerank_ott_adapted_dbpedia;0.9973468780517578;480;0.6453427413430849
TOTALS;pagerank_ott_adapted_dbpedia;0.9974517822265625;500;0.651243127375276
TOTALS;hits_ott_dbpedia;0.93719482421875;20;0.26570649699352333
TOTALS;hits_ott_dbpedia;0.9683837890625;40;0.2923365436585041
TOTALS;hits_ott_dbpedia;0.9788665771484375;60;0.31752830217120126
TOTALS;hits_ott_dbpedia;0.984130859375;80;0.3394752368248218
